# ::snt dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::tok dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::alignments 25-26|0.0.1.0.1 23-24|0.0.1.0.0+0.0.1.0 21-22|0.0.1 20-21|0.3.0.0 17-18|0.3.0 16-17|0.3 11-12|0.1 9-10|0.1.0 6-7|0.0.0+0.0 5-6|0.0.3 4-5|0.0.2 3-4|0 2-3|0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:38.327
# ::node	0	accuse-01	3-4
# ::node	0.0	person	6-7
# ::node	0.0.0	serve-02	6-7
# ::node	0.0.1	arrest-01	21-22
# ::node	0.0.1.0	have-org-role-91	23-24
# ::node	0.0.1.0.0	official	23-24
# ::node	0.0.1.0.1	north	25-26
# ::node	0.0.2	senior	4-5
# ::node	0.0.3	civil	5-6
# ::node	0.1	plot-01	11-12
# ::node	0.1.0	north	9-10
# ::node	0.2	also	2-3
# ::node	0.3	and	16-17
# ::node	0.3.0	encourage-01	17-18
# ::node	0.3.0.0	and	20-21
# ::root	0	accuse-01
# ::edge	accuse-01	ARG1	person	0	0.0	
# ::edge	accuse-01	ARG2	plot-01	0	0.1	
# ::edge	accuse-01	mod	also	0	0.2	
# ::edge	and	op1	accuse-01	0.3	0	
# ::edge	arrest-01	ARG1	person	0.0.1	0.0	
# ::edge	arrest-01	time	have-org-role-91	0.0.1	0.0.1.0	
# ::edge	encourage-01	ARG1	and	0.3.0	0.3.0.0	
# ::edge	encourage-01	ARG2	and	0.3.0	0.3	
# ::edge	have-org-role-91	ARG2	official	0.0.1.0	0.0.1.0.0	
# ::edge	have-org-role-91	location	north	0.0.1.0	0.0.1.0.1	
# ::edge	person	mod	civil	0.0	0.0.3	
# ::edge	person	mod	senior	0.0	0.0.2	
# ::edge	plot-01	ARG0	north	0.1	0.1.0	
# ::edge	serve-02	ARG0	person	0.0.0	0.0	
(a4 / accuse-01 
# ::edge	and	op1	scandal	0.2.0	0.2.0.0	
# ::edge	and	op2	punch-01	0.2	0.2.1	
# ::edge	and	op3	show-01	0.2	0	
# ::edge	cabinet	mod	entire	0.2.1.1	0.2.1.1.0	
# ::edge	cabinet	poss	it	0.2.1.1	0.2.1.1.1	
# ::edge	punch-01	ARG0	just	0.2.1	0.2.1.0	
# ::edge	punch-01	ARG1	cabinet	0.2.1	0.2.1.1	
# ::edge	show-01	ARG0	really	0	0.0	
# ::edge	show-01	ARG1	bit	0	0.1	
# ::edge	soon	mod	so	0.2.0.0.0.0	0.2.0.0.0.0.0	
# ::edge	soon	op1	after	0.2.0.0.0.0	0.2.0.0.0	
# ::edge	year	mod	just	0.2.1.0.0	0.2.1.0	
(s / show-01 
      :ARG0 (r / really) 
      :ARG1 (b / bit) 
      :op-of (a / and 
            :op1 (a3 / and 
                  :op1 (s2 / scandal 
                        :op-of (a4 / after 
                              :op-of (s3 / soon 
                                    :mod (s4 / so))))) 
            :op2 (p / punch-01 
                  :ARG0 (j / just 
                        :mod-of (y / year 
                              :op-of (a2 / after))) 
                  :ARG1 (c / cabinet 
                        :mod (e / entire) 
                        :poss (i / it)))))

# ::snt we each had a man wrapped in sacking and helmeted with a biscuit tin and we are throwing them up in the air to kill them with the fall
# ::tok we each had a man wrapped in sacking and helmeted with a biscuit tin and we are throwing them up in the air to kill them with the fall
# ::alignments 24-25|0.1.0.0 22-23|0.1.2 17-18|0.1 15-16|0.1.0 14-15|0 13-14|0.0 8-9|0.1.1.0.1 5-6|0.1.1.0 4-5|0.1.1.0.0 1-2|0.1.1.1 0-1|0.1.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:39.467
# ::node	0	and	14-15
# ::node	0.0	tin	13-14
# ::node	0.1	throw-01	17-18
# ::node	0.1.0	we	15-16
# ::node	0.1.0.0	kill-01	24-25
# ::node	0.1.1	we	0-1
# ::node	0.1.1.0	wrap-01	5-6
# ::node	0.1.1.0.0	man	4-5
# ::node	0.1.1.0.1	and	8-9
# ::node	0.1.1.1	each	1-2
# ::node	0.1.2	air	22-23
# ::root	0	and
# ::edge	and	op1	tin	0	0.0	
# ::edge	and	op2	throw-01	0	0.1	
# ::edge	kill-01	ARG0	we	0.1.0.0	0.1.0	
# ::edge	throw-01	ARG0	we	0.1	0.1.0	
# ::edge	throw-01	ARG1	we	0.1	0.1.1	
# ::edge	throw-01	ARG2	air	0.1	0.1.2	
# ::edge	we	mod	each	0.1.1	0.1.1.1	
# ::edge	wrap-01	ARG0	we	0.1.1.0	0.1.1	
# ::edge	wrap-01	ARG1	man	0.1.1.0	0.1.1.0.0	
# ::edge	wrap-01	ARG2	and	0.1.1.0	0.1.1.0.1	
(a2 / and 
      :op1 (t2 / tin) 
      :op2 (t / throw-01 
            :ARG0 (w / we 
                  :ARG0-of (k / kill-01)) 
            :ARG1 (w3 / we 
                  :ARG0-of (w2 / wrap-01 
                        :ARG1 (m / man) 
                        :ARG2 (a3 / and)) 
                  :mod (e / each)) 
            :ARG2 (a / air)))

# ::snt the communist leader karel urbanek was yesterday reported to be consulting with colleagues on the possible sacking of a group of hardline communist deputies who are thought to be determined to scupper the election of a non communist president
# ::tok the communist leader karel urbanek was yesterday reported to be consulting with colleagues on the possible sacking of a group of hardline communist deputies who are thought to be determined to scupper the election of a non communist president
# ::alignments 38-39|0.1.0.1+0.1.0 37-38|0.1.0.0 33-34|0.1 29-30|0 26-27|0.2 23-24|0.2.1.1+0.2.1 22-23|0.2.1.1.0.0 21-22|0.2.1.1.0 19-20|0.2.0.1.0 15-16|0.0 10-11|0.2.0 7-8|0.2.0.1 6-7|0.2.0.0 2-3|0.2.1.0.0+0.2.1.0 1-2|0.2.1.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:40.296
# ::node	0	determine-01	29-30
# ::node	0.0	possible	15-16
# ::node	0.1	elect-01	33-34
# ::node	0.1.0	have-org-role-91	38-39
# ::node	0.1.0.0	communism	37-38
# ::node	0.1.0.1	president	38-39
# ::node	0.2	think-01	26-27
# ::node	0.2.0	consult-01	10-11
# ::node	0.2.0.0	yesterday	6-7
# ::node	0.2.0.1	report-01	7-8
# ::node	0.2.0.1.0	group	19-20
# ::node	0.2.1	have-org-role-91	23-24
# ::node	0.2.1.0	person	2-3
# ::node	0.2.1.0.0	lead-02	2-3
# ::node	0.2.1.0.1	communism	1-2
# ::node	0.2.1.1	deputy	23-24
# ::node	0.2.1.1.0	hardline	21-22
# ::node	0.2.1.1.0.0	communism	22-23
# ::root	0	determine-01
# ::edge	communism	mod	hardline	0.2.1.1.0.0	0.2.1.1.0	
# ::edge	consult-01	ARG1	yesterday	0.2.0	0.2.0.0	
# ::edge	deputy	mod	hardline	0.2.1.1	0.2.1.1.0	
# ::edge	determine-01	ARG0	possible	0	0.0	
# ::edge	determine-01	ARG1	elect-01	0	0.1	
# ::edge	have-org-role-91	ARG0	elect-01	0.1.0	0.1	
# ::edge	have-org-role-91	ARG0	person	0.2.1	0.2.1.0	
# ::edge	have-org-role-91	ARG1	communism	0.1.0	0.1.0.0	
# ::edge	have-org-role-91	ARG2	deputy	0.2.1	0.2.1.1	
# ::edge	have-org-role-91	ARG2	president	0.1.0	0.1.0.1	
# ::edge	lead-02	ARG0	person	0.2.1.0.0	0.2.1.0	
# ::edge	person	mod	communism	0.2.1.0	0.2.1.0.1	
# ::edge	report-01	ARG0	group	0.2.0.1	0.2.0.1.0	
# ::edge	report-01	ARG1	consult-01	0.2.0.1	0.2.0	
# ::edge	think-01	ARG0	consult-01	0.2	0.2.0	
# ::edge	think-01	ARG1	determine-01	0.2	0	
# ::edge	think-01	mod	have-org-role-91	0.2	0.2.1	
(d / determine-01 
      :ARG0 (p2 / possible) 
      :ARG1 (e / elect-01 
            :ARG0-of (h / have-org-role-91 
                  :ARG1 (c / communism) 
                  :ARG2 (p / president))) 
      :ARG1-of (t / think-01 
            :ARG0 (c3 / consult-01 
                  :ARG1 (y / yesterday) 
                  :ARG1-of (r / report-01 
                        :ARG0 (g / group))) 
            :mod (h2 / have-org-role-91 
                  :ARG0 (p3 / person 
                        :ARG0-of (l / lead-02) 
                        :mod (c4 / communism)) 
                  :ARG2 (d2 / deputy 
                        :mod (h3 / hardline 
                              :mod-of (c2 / communism))))))

# ::snt already his mouth was watering at the prospect of sinking his teeth into a thick slice of bread liberally spread with best butter and sprinkled with sugar from one of the big sacks standing in the corner
# ::tok already his mouth was watering at the prospect of sinking his teeth into a thick slice of bread liberally spread with best butter and sprinkled with sugar from one of the big sacks standing in the corner
# ::alignments 36-37|0.1 31-32|0.0.0.0.1.0.0.0.2 26-27|0 23-24|0.0 22-23|0.0.0 19-20|0.0.0.0 17-18|0.0.0.0.1 15-16|0.0.0.0.1.0 14-15|0.0.0.0.1.0.1 11-12|0.0.0.0.1.0.0 9-10|0.0.0.0.1.0.0.0 7-8|0.0.0.0.1.0.0.0.0 2-3|0.0.0.0.1.0.0.0.1 0-1|0.0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:40.913
# ::node	0	sugar-cane	26-27
# ::node	0.0	and	23-24
# ::node	0.0.0	butter	22-23
# ::node	0.0.0.0	spread-02	19-20
# ::node	0.0.0.0.0	already	0-1
# ::node	0.0.0.0.1	bread	17-18
# ::node	0.0.0.0.1.0	slice	15-16
# ::node	0.0.0.0.1.0.0	tooth	11-12
# ::node	0.0.0.0.1.0.0.0	sink-01	9-10
# ::node	0.0.0.0.1.0.0.0.0	prospect	7-8
# ::node	0.0.0.0.1.0.0.0.1	mouth	2-3
# ::node	0.0.0.0.1.0.0.0.2	big	31-32
# ::node	0.0.0.0.1.0.1	thick	14-15
# ::node	0.1	corner	36-37
# ::root	0	sugar-cane
# ::edge	and	op1	butter	0.0	0.0.0	
# ::edge	and	op2	sugar-cane	0.0	0	
# ::edge	big	op1	sink-01	0.0.0.0.1.0.0.0.2	0.0.0.0.1.0.0.0	
# ::edge	sink-01	ARG0	prospect	0.0.0.0.1.0.0.0	0.0.0.0.1.0.0.0.0	
# ::edge	sink-01	ARG1	tooth	0.0.0.0.1.0.0.0	0.0.0.0.1.0.0	
# ::edge	sink-01	location	mouth	0.0.0.0.1.0.0.0	0.0.0.0.1.0.0.0.1	
# ::edge	slice	mod	bread	0.0.0.0.1.0	0.0.0.0.1	
# ::edge	slice	mod	thick	0.0.0.0.1.0	0.0.0.0.1.0.1	
# ::edge	spread-02	ARG0	already	0.0.0.0	0.0.0.0.0	
# ::edge	spread-02	ARG1	bread	0.0.0.0	0.0.0.0.1	
# ::edge	spread-02	source	butter	0.0.0.0	0.0.0	
# ::edge	sugar-cane	poss	corner	0	0.1	
# ::edge	tooth	location	slice	0.0.0.0.1.0.0	0.0.0.0.1.0	
(s / sugar-cane 
      :op-of (a / and 
            :op1 (b2 / butter 
                  :source-of (s2 / spread-02 
                        :ARG0 (a2 / already) 
                        :ARG1 (b3 / bread 
                              :mod-of (s3 / slice 
                                    :location-of (t2 / tooth 
                                          :ARG1-of (s4 / sink-01 
                                                :ARG0 (p / prospect) 
                                                :location (m / mouth) 
                                                :op-of (b / big))) 
                                    :mod (t / thick)))))) 
      :poss (c / corner))

# ::snt sacks of intercepted letters had been found in its leipzig regional headquarters the paper said
# ::tok sacks of intercepted letters had been found in its leipzig regional headquarters the paper said
# ::alignments 14-15|0 13-14|0.0 11-12|0.1 10-11|0.1.1 6-7|0.1.0 3-4|0.1.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:40.954
# ::node	0	say-01	14-15
# ::node	0.0	paper	13-14
# ::node	0.1	headquarters	11-12
# ::node	0.1.0	find-01	6-7
# ::node	0.1.1	region	10-11
# ::node	0.1.2	letter	3-4
# ::root	0	say-01
# ::edge	find-01	ARG1	headquarters	0.1.0	0.1	
# ::edge	headquarters	mod	region	0.1	0.1.1	
# ::edge	headquarters	poss	letter	0.1	0.1.2	
# ::edge	say-01	ARG0	paper	0	0.0	
# ::edge	say-01	ARG1	headquarters	0	0.1	
(s / say-01 
      :ARG0 (p / paper) 
      :ARG1 (h / headquarters 
            :ARG1-of (f / find-01) 
            :mod (r / region) 
            :poss (l / letter)))

# ::snt on that occasion police watched as a fishing boat tied up at a remote bay and sacks of semtex bombing paraphernalia and firearms were unloaded
# ::tok on that occasion police watched as a fishing boat tied up at a remote bay and sacks of semtex bombing paraphernalia and firearms were unloaded
# ::alignments 22-23|0.2 21-22|0 20-21|0.1 19-20|0.1.0 15-16|0.0 13-14|0.0.0.0 9-10|0.0.0 8-9|0.0.0.1 7-8|0.0.0.1.1 4-5|0.0.0.1.0 3-4|0.0.0.1.0.0 2-3|0.0.0.1.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:41.128
# ::node	0	and	21-22
# ::node	0.0	and	15-16
# ::node	0.0.0	tie-01	9-10
# ::node	0.0.0.0	remote	13-14
# ::node	0.0.0.1	boat	8-9
# ::node	0.0.0.1.0	watch-01	4-5
# ::node	0.0.0.1.0.0	police	3-4
# ::node	0.0.0.1.0.0.0	occasion	2-3
# ::node	0.0.0.1.1	fish-01	7-8
# ::node	0.1	paraphernalia	20-21
# ::node	0.1.0	bomb-01	19-20
# ::node	0.2	firearm	22-23
# ::root	0	and
# ::edge	and	op1	and	0.0	0	
# ::edge	and	op1	paraphernalia	0	0.1	
# ::edge	and	op2	firearm	0	0.2	
# ::edge	boat	mod	fish-01	0.0.0.1	0.0.0.1.1	
# ::edge	bomb-01	ARG1	paraphernalia	0.1.0	0.1	
# ::edge	police	mod	occasion	0.0.0.1.0.0	0.0.0.1.0.0.0	
# ::edge	tie-01	ARG0	remote	0.0.0	0.0.0.0	
# ::edge	tie-01	ARG1	boat	0.0.0	0.0.0.1	
# ::edge	tie-01	ARG2	and	0.0.0	0.0	
# ::edge	watch-01	ARG0	police	0.0.0.1.0	0.0.0.1.0.0	
# ::edge	watch-01	condition	boat	0.0.0.1.0	0.0.0.1	
(a / and 
      :op-of (a2 / and 
            :ARG2-of (t / tie-01 
                  :ARG0 (r / remote) 
                  :ARG1 (b2 / boat 
                        :condition-of (w / watch-01 
                              :ARG0 (p2 / police 
                                    :mod (o / occasion))) 
                        :mod (f2 / fish-01)))) 
      :op1 (p / paraphernalia 
            :ARG1-of (b / bomb-01)) 
      :op2 (f / firearm))

# ::snt last month the standard low quality jute used for sacking reached 460 a tonne an increase of about 25 per cent since september last year
# ::tok last month the standard low quality jute used for sacking reached 460 a tonne an increase of about 25 per cent since september last year
# ::alignments 24-25|0.2.0 23-24|0.2.0.0 22-23|0.2.1.1+0.2.1 21-22|0.2 20-21|0.1.0+0.1 18-19|0.3 15-16|0 10-11|0.2.1.0 7-8|0.2.1.0.0 5-6|0.0.0 4-5|0.0 3-4|0.0.1 1-2|0.2.1.0.0.0.0.0+0.2.1.0.0.0.0 0-1|0.2.1.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:41.625
# ::node	0	increase-01	15-16
# ::node	0.0	low	4-5
# ::node	0.0.0	quality	5-6
# ::node	0.0.1	standard	3-4
# ::node	0.1	monetary-quantity	20-21
# ::node	0.1.0	cent	20-21
# ::node	0.2	since	21-22
# ::node	0.2.0	year	24-25
# ::node	0.2.0.0	last	23-24
# ::node	0.2.1	date-entity	22-23
# ::node	0.2.1.0	reach-01	10-11
# ::node	0.2.1.0.0	use-01	7-8
# ::node	0.2.1.0.0.0	last	0-1
# ::node	0.2.1.0.0.0.0	temporal-quantity	1-2
# ::node	0.2.1.0.0.0.0.0	month	1-2
# ::node	0.2.1.1	9	22-23
# ::node	0.3	25	18-19
# ::root	0	increase-01
# ::edge	date-entity	month	9	0.2.1	0.2.1.1	
# ::edge	increase-01	ARG0	low	0	0.0	
# ::edge	increase-01	ARG1	monetary-quantity	0	0.1	
# ::edge	increase-01	time	25	0	0.3	
# ::edge	increase-01	time	since	0	0.2	
# ::edge	last	op1	use-01	0.2.1.0.0.0	0.2.1.0.0	
# ::edge	low	mod	standard	0.0	0.0.1	
# ::edge	monetary-quantity	unit	cent	0.1	0.1.0	
# ::edge	quality	degree	low	0.0.0	0.0	
# ::edge	reach-01	ARG1	date-entity	0.2.1.0	0.2.1	
# ::edge	since	op1	date-entity	0.2	0.2.1	
# ::edge	temporal-quantity	mod	last	0.2.1.0.0.0.0	0.2.1.0.0.0	
# ::edge	temporal-quantity	unit	month	0.2.1.0.0.0.0	0.2.1.0.0.0.0.0	
# ::edge	use-01	ARG2	reach-01	0.2.1.0.0	0.2.1.0	
# ::edge	year	manner	since	0.2.0	0.2	
# ::edge	year	mod	last	0.2.0	0.2.0.0	
(i / increase-01 
      :ARG0 (l2 / low 
            :degree-of (q / quality) 
            :mod (s2 / standard)) 
      :ARG1 (m / monetary-quantity 
            :unit (c / cent)) 
      :time (s / since 
            :manner-of (y / year 
                  :mod (l / last)) 
            :op1 (d / date-entity 
                  :ARG1-of (r / reach-01 
                        :ARG2-of (u / use-01 
                              :op-of (l3 / last 
                                    :mod-of (t / temporal-quantity 
                                          :unit (m2 / month))))) 
                  :month 9)) 
      :time 25)

# ::snt he said ah si il cane and heaved across the counter a bloody sack, in the kitchen i hunted down a saucepan of pantomime proportions upended the sack and spilled out dash
# ::tok he said ah si il cane and heaved across the counter a bloody sack , in the kitchen i hunted down a saucepan of pantomime proportions upended the sack and spilled out dash
# ::alignments 29-30|0.3.1 25-26|0.3.0.0.0 20-21|0.0.0.0 18-19|0.0.0 12-13|0.1.0 10-11|0.3.0.0 8-9|0.3.0 6-7|0.3 5-6|0.1 2-3|0.2 1-2|0 0-1|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:41.975
# ::node	0	say-01	1-2
# ::node	0.0	he	0-1
# ::node	0.0.0	i	18-19
# ::node	0.0.0.0	down	20-21
# ::node	0.1	cane	5-6
# ::node	0.1.0	bloody	12-13
# ::node	0.2	ah	2-3
# ::node	0.3	and	6-7
# ::node	0.3.0	across	8-9
# ::node	0.3.0.0	counter-01	10-11
# ::node	0.3.0.0.0	proportion	25-26
# ::node	0.3.1	and	29-30
# ::root	0	say-01
# ::edge	across	op1	counter-01	0.3.0	0.3.0.0	
# ::edge	and	location	across	0.3	0.3.0	
# ::edge	and	op1	say-01	0.3	0	
# ::edge	and	op2	and	0.3	0.3.1	
# ::edge	cane	mod	bloody	0.1	0.1.0	
# ::edge	counter-01	ARG1	proportion	0.3.0.0	0.3.0.0.0	
# ::edge	down	domain	i	0.0.0.0	0.0.0	
# ::edge	he	part	i	0.0	0.0.0	
# ::edge	say-01	ARG0	he	0	0.0	
# ::edge	say-01	ARG1	cane	0	0.1	
# ::edge	say-01	ARG2	ah	0	0.2	
(s / say-01 
      :ARG0 (h / he 
            :part (i / i 
                  :domain-of (d / down))) 
      :ARG1 (c2 / cane 
            :mod (b / bloody)) 
      :ARG2 (a4 / ah) 
      :op-of (a3 / and 
            :location (a2 / across 
                  :op1 (c / counter-01 
                        :ARG1 (p / proportion))) 
            :op1 (a / and)))

# ::snt   the first bettinson an education officer knew of his sacking was a telephone call at home from bob ashby the boards chairman
# ::tok the first bettinson an education officer knew of his sacking was a telephone call at home from bob ashby the boards chairman
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:41.976
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt in one of the small hill stations on this remote massif sacks full of  small lumps of pumice are sold in the village market
# ::tok in one of the small hill stations on this remote massif sacks full of small lumps of pumice are sold in the village market
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:41.981
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt the money was packed in nine shoeboxsize containers each in a grey canvas sack
# ::tok the money was packed in nine shoeboxsize containers each in a grey canvas sack
# ::alignments 12-13|0.0.0.0 11-12|0.0.0.0.0 8-9|0.1 7-8|0 5-6|0.1.0 3-4|0.0 1-2|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:42.064
# ::node	0	container	7-8
# ::node	0.0	pack-01	3-4
# ::node	0.0.0	money	1-2
# ::node	0.0.0.0	canvas	12-13
# ::node	0.0.0.0.0	grey	11-12
# ::node	0.1	each	8-9
