# ::snt labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::tok labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::alignments 40-41|0.1.0.3.1 39-40|0.1.0.3.1.0 36-37|0.1.0.3 35-36|0.1.0.3.2 32-33|0.1.0.3.0 30-31|0.1.0.0.0.0 29-30|0.1.0.0.0 28-29|0.1.0.0.1.0 25-26|0.1.0.0.1 23-24|0.1.1 22-23|0 20-21|0.1 19-20|0.1.0.1 18-19|0.1.0 17-18|0.1.0.0.2 15-16|0.1.0.0 11-12|0.1.0.2 9-10|0.1.0.2.0 8-9|0.0.2.0 7-8|0.0.2 3-4|0.0.1.0 2-3|0.0.1 1-2|0.0 0-1|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:01.262
# ::node	0	and	22-23
# ::node	0.0	and	1-2
# ::node	0.0.0	labour	0-1
# ::node	0.0.1	liberal	2-3
# ::node	0.0.1.0	county	3-4
# ::node	0.0.2	spend-01	7-8
# ::node	0.0.2.0	level	8-9
# ::node	0.1	or	20-21
# ::node	0.1.0	consider-01	18-19
# ::node	0.1.0.0	department	15-16
# ::node	0.1.0.0.0	propose-01	29-30
# ::node	0.1.0.0.0.0	year	30-31
# ::node	0.1.0.0.1	exceed-01	25-26
# ::node	0.1.0.0.1.0	budget	28-29
# ::node	0.1.0.0.2	environment	17-18
# ::node	0.1.0.1	reasonable	19-20
# ::node	0.1.0.2	exceed-01	11-12
# ::node	0.1.0.2.0	far	9-10
# ::node	0.1.0.3	group	36-37
# ::node	0.1.0.3.0	year	32-33
# ::node	0.1.0.3.1	council	40-41
# ::node	0.1.0.3.1.0	county	39-40
# ::node	0.1.0.3.2	conservative	35-36
# ::node	0.1.1	far	23-24
# ::root	0	and
(a / and 
# ::edge	repay-01	ARG1	temporal-quantity	0	0.0	
# ::edge	repay-01	manner	outstanding	0	0.2	
# ::edge	require-01	ARG0	we	0.1.0.0	0.1.0	
# ::edge	require-01	ARG1	account	0.1.0.0	0.1.0.0.0	
# ::edge	require-01	ARG2	amount	0.1.0.0	0.1.0.0.1	
# ::edge	require-01	mod	date-entity	0.1.0.0	0.1.0.0.2	
# ::edge	temporal-quantity	unit	month	0.0	0.0.0	
# ::edge	transfer-01	ARG0	we	0.1	0.1.0	
# ::edge	transfer-01	ARG1	exceed-01	0.1	0.1.1	
# ::edge	transfer-01	ARG2	repay-01	0.1	0	
(r / repay-01 
      :ARG1 (t2 / temporal-quantity 
            :unit (m / month)) 
      :ARG2-of (t / transfer-01 
            :ARG0 (w / we 
                  :ARG0-of (r2 / require-01 
                        :ARG1 (a3 / account) 
                        :ARG2 (a / amount 
                              :mod (a2 / any)) 
                        :mod (d / date-entity 
                              :month 5))) 
            :ARG1 (e / exceed-01)) 
      :manner (o / outstanding))

# ::snt as his education had included latin but no greek his acquaintance with the excesses of the ancients was fragmentary but in any case it was all different for them
# ::tok as his education had included latin but no greek his acquaintance with the excesses of the ancients was fragmentary but in any case it was all different for them
# ::alignments 26-27|0.0 25-26|0.0.2.0.0.0 23-24|0.0.1 22-23|0.0.0 21-22|0.0.0.0 19-20|0 10-11|0.1 7-8|0.0.2.0.0.1 6-7|0.0.2 4-5|0.0.2.0 2-3|0.0.2.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:02.298
# ::node	0	contrast-01	19-20
# ::node	0.0	differ-02	26-27
# ::node	0.0.0	case	22-23
# ::node	0.0.0.0	any	21-22
# ::node	0.0.1	it	23-24
# ::node	0.0.2	contrast-01	6-7
# ::node	0.0.2.0	include-01	4-5
# ::node	0.0.2.0.0	educate-01	2-3
# ::node	0.0.2.0.0.0	all	25-26
# ::node	0.0.2.0.0.1	-	7-8
# ::node	0.1	acquaint-01	10-11
# ::root	0	contrast-01
# ::edge	acquaint-01	ARG1	contrast-01	0.1	0	
# ::edge	case	mod	any	0.0.0	0.0.0.0	
# ::edge	contrast-01	ARG1	differ-02	0	0.0	
# ::edge	contrast-01	ARG1	differ-02	0.0.2	0.0	
# ::edge	differ-02	ARG0	case	0.0	0.0.0	
# ::edge	differ-02	ARG1	it	0.0	0.0.1	
# ::edge	educate-01	ARG0	all	0.0.2.0.0	0.0.2.0.0.0	
# ::edge	educate-01	ARG1	-	0.0.2.0.0	0.0.2.0.0.1	
# ::edge	include-01	ARG1	contrast-01	0.0.2.0	0.0.2	
# ::edge	include-01	ARG2	educate-01	0.0.2.0	0.0.2.0.0	
(c2 / contrast-01 
      :ARG1 (d / differ-02 
            :ARG0 (c / case 
                  :mod (a2 / any)) 
            :ARG1 (i / it) 
            :ARG1-of (c3 / contrast-01 
                  :ARG1-of (i2 / include-01 
                        :ARG2 (e / educate-01 
                              :ARG0 (a / all) 
                              :ARG1 (- / -))))) 
      :ARG1-of (a3 / acquaint-01))

# ::snt english officials have reacted to press excesses with an amateurish petulance
# ::tok english officials have reacted to press excesses with an amateurish petulance
# ::alignments 5-6|0.0 3-4|0 1-2|0.0.0.1+0.0.0 0-1|0.0.0.0.0.0+0.0.0.0.0+0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:02.394
# ::node	0	react-01	3-4
# ::node	0.0	press	5-6
# ::node	0.0.0	have-org-role-91	1-2
# ::node	0.0.0.0	language	0-1
# ::node	0.0.0.0.0	name	0-1
# ::node	0.0.0.0.0.0	"English"	0-1
# ::node	0.0.0.1	official	1-2
# ::root	0	react-01
# ::edge	have-org-role-91	ARG1	language	0.0.0	0.0.0.0	
# ::edge	have-org-role-91	ARG2	official	0.0.0	0.0.0.1	
# ::edge	language	name	name	0.0.0.0	0.0.0.0.0	
# ::edge	name	op1	"English"	0.0.0.0.0	0.0.0.0.0.0	
# ::edge	press	domain	have-org-role-91	0.0	0.0.0	
# ::edge	react-01	ARG1	press	0	0.0	
(r / react-01 
      :ARG1 (p / press 
            :domain (h / have-org-role-91 
                  :ARG1 (l / language 
                        :name (n / name 
                              :op1 "English")) 
                  :ARG2 (o / official))))

# ::snt this demonstrates how property values have risen and if this rate of increase continued over the coming 10 years then by the year 2000 the average house price would be in excess of 160000
# ::tok this demonstrates how property values have risen and if this rate of increase continued over the coming 10 years then by the year 2000 the average house price would be in excess of 160000
# ::alignments 33-34|0.0.0.1.2.1.2+0.0.0.1.2.1.1+0.0.0.1.2.1.0+0.0.0.1.2.1 31-32|0.0.0.1.2 27-28|0.0.0.0.0+0.0.0.0 26-27|0.0.0.0.0.0 23-24|0.0.0.1.0.2.0+0.0.0.1.0.2 22-23|0.0.0.1.0.1 19-20|0.0.0.1.1.2 18-19|0.0.0.1.2.0.0.0+0.0.0.1.2.0.0 17-18|0.0.0.1.2.0 13-14|0.0.0.1.1 12-13|0 10-11|0.0.0.1.1.1 9-10|0.0.0.1.1.1.0 7-8|0.0.0.1 6-7|0.0.0 4-5|0.0 3-4|0.0.0.1.1.0 1-2|0.0.0.1.0 0-1|0.0.0.1.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:04.142
# ::node	0	increase-01	12-13
# ::node	0.0	value	4-5
# ::node	0.0.0	rise-01	6-7
# ::node	0.0.0.0	thing	27-28
# ::node	0.0.0.0.0	price-01	27-28
# ::node	0.0.0.0.0.0	house	26-27
# ::node	0.0.0.1	and	7-8
# ::node	0.0.0.1.0	demonstrate-01	1-2
# ::node	0.0.0.1.0.0	this	0-1
# ::node	0.0.0.1.0.1	year	22-23
# ::node	0.0.0.1.0.2	date-entity	23-24
# ::node	0.0.0.1.0.2.0	2000	23-24
# ::node	0.0.0.1.1	continue-01	13-14
# ::node	0.0.0.1.1.0	property	3-4
# ::node	0.0.0.1.1.1	rate	10-11
# ::node	0.0.0.1.1.1.0	this	9-10
# ::node	0.0.0.1.1.2	then	19-20
# ::node	0.0.0.1.2	exceed-01	31-32
# ::node	0.0.0.1.2.0	10	17-18
# ::node	0.0.0.1.2.0.0	temporal-quantity	18-19
# ::node	0.0.0.1.2.0.0.0	year	18-19
# ::node	0.0.0.1.2.1	date-entity	33-34
# ::node	0.0.0.1.2.1.0	0	33-34
# ::node	0.0.0.1.2.1.1	0	33-34
# ::node	0.0.0.1.2.1.2	16	33-34
# ::root	0	increase-01
# ::edge	and	op1	demonstrate-01	0.0.0.1	0.0.0.1.0	
# ::edge	and	op2	rise-01	0.0.0.1	0.0.0	
# ::edge	and	op3	continue-01	0.0.0.1	0.0.0.1.1	
# ::edge	and	op4	exceed-01	0.0.0.1	0.0.0.1.2	
# ::edge	continue-01	ARG0	property	0.0.0.1.1	0.0.0.1.1.0	
# ::edge	continue-01	ARG1	rate	0.0.0.1.1	0.0.0.1.1.1	
# ::edge	continue-01	manner	then	0.0.0.1.1	0.0.0.1.1.2	
# ::edge	date-entity	day	0	0.0.0.1.2.1	0.0.0.1.2.1.0	
# ::edge	date-entity	month	0	0.0.0.1.2.1	0.0.0.1.2.1.1	
# ::edge	date-entity	op1	demonstrate-01	0.0.0.1.0.2	0.0.0.1.0	
# ::edge	date-entity	year	16	0.0.0.1.2.1	0.0.0.1.2.1.2	
# ::edge	date-entity	year	2000	0.0.0.1.0.2	0.0.0.1.0.2.0	
# ::edge	demonstrate-01	ARG1	this	0.0.0.1.0	0.0.0.1.0.0	
# ::edge	exceed-01	ARG0	10	0.0.0.1.2	0.0.0.1.2.0	
# ::edge	exceed-01	time	date-entity	0.0.0.1.2	0.0.0.1.2.1	
# ::edge	increase-01	ARG1	value	0	0.0	
# ::edge	price-01	ARG1	house	0.0.0.0.0	0.0.0.0.0.0	
# ::edge	price-01	ARG2	thing	0.0.0.0.0	0.0.0.0	
# ::edge	rate	mod	this	0.0.0.1.1.1	0.0.0.1.1.1.0	
# ::edge	rise-01	ARG0	thing	0.0.0	0.0.0.0	
# ::edge	rise-01	ARG1	value	0.0.0	0.0	
# ::edge	temporal-quantity	quant	10	0.0.0.1.2.0.0	0.0.0.1.2.0	
# ::edge	temporal-quantity	unit	year	0.0.0.1.2.0.0	0.0.0.1.2.0.0.0	
# ::edge	year	op1	demonstrate-01	0.0.0.1.0.1	0.0.0.1.0	
(i / increase-01 
      :ARG1 (v / value 
            :ARG1-of (r2 / rise-01 
                  :ARG0 (t / thing 
                        :ARG2-of (p / price-01 
                              :ARG1 (h / house))) 
                  :op-of (a / and 
                        :op1 (d3 / demonstrate-01 
                              :ARG1 (t5 / this) 
                              :op-of (y / year) 
                              :op-of (d2 / date-entity 
                                    :year 2000)) 
                        :op2 (c / continue-01 
                              :ARG0 (p2 / property) 
                              :ARG1 (r / rate 
                                    :mod (t4 / this)) 
                              :manner (t2 / then)) 
                        :op3 (e / exceed-01 
                              :ARG0 (12 / 10 
                                    :quant-of (t3 / temporal-quantity 
                                          :unit (y2 / year))) 
                              :time (d / date-entity 
                                    :day 0 
                                    :month 0 
                                    :year 16))))))

# ::snt another ruse was to offer houses at low rent or for sale or to offer signingon fees far in excess of the 10 theoretically permitted by the fa
# ::tok another ruse was to offer houses at low rent or for sale or to offer signingon fees far in excess of the 10 theoretically permitted by the fa
# ::alignments 24-25|0.1 23-24|0 22-23|0.1.0 19-20|0.0 17-18|0.0.0.1 16-17|0.0.0.0 14-15|0.0.0 12-13|0.0.0.2 9-10|0.0.0.2.0.0 8-9|0.0.0.2.1 7-8|0.0.0.2.0.0.0 5-6|0.0.0.2.0.1 4-5|0.0.0.2.0 0-1|0.0.0.2.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:04.281
# ::node	0	theoretical	23-24
# ::node	0.0	exceed-01	19-20
# ::node	0.0.0	offer-01	14-15
# ::node	0.0.0.0	fee	16-17
# ::node	0.0.0.1	far	17-18
# ::node	0.0.0.2	or	12-13
# ::node	0.0.0.2.0	offer-01	4-5
# ::node	0.0.0.2.0.0	or	9-10
# ::node	0.0.0.2.0.0.0	low	7-8
# ::node	0.0.0.2.0.1	house	5-6
# ::node	0.0.0.2.1	rent-01	8-9
# ::node	0.0.0.2.1.0	another	0-1
# ::node	0.1	permit-01	24-25
# ::node	0.1.0	10	22-23
# ::root	0	theoretical
(t / theoretical 
      :ARG1-of (e / exceed-01 
            :ARG2-of (o / offer-01 
                  :ARG1 (f2 / fee) 
                  :location (f / far) 
                  :op-of (o2 / or 
                        :op1 (o4 / offer-01 
                              :ARG0 (o3 / or 
                                    :op1 (l / low)) 
                              :ARG1 (h / house)) 
                        :op2 (r / rent-01 
                              :ARG1 (a / another))))) 
      :ARG1-of (p / permit-01 
            :quant 10))

# ::snt fanaticism or fundamentalism are precisely the kind of excess which dies out because of the evolutionary process
# ::tok fanaticism or fundamentalism are precisely the kind of excess which dies out because of the evolutionary process
# ::alignments 16-17|0.0 12-13|0 10-11|0.1 8-9|0.1.1 6-7|0.1.0 4-5|0.1.1.0 2-3|0.1.0.0.0 1-2|0.1.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:04.419
# ::node	0	cause-01	12-13
# ::node	0.0	process	16-17
# ::node	0.1	die-01	10-11
# ::node	0.1.0	kind	6-7
# ::node	0.1.0.0	or	1-2
# ::node	0.1.0.0.0	fundamentalism	2-3
# ::node	0.1.1	exceed-01	8-9
# ::node	0.1.1.0	precise	4-5
# ::root	0	cause-01
# ::edge	cause-01	ARG0	process	0	0.0	
# ::edge	cause-01	ARG1	die-01	0	0.1	
# ::edge	die-01	ARG0	kind	0.1	0.1.0	
# ::edge	die-01	ARG1	exceed-01	0.1	0.1.1	
# ::edge	exceed-01	ARG0	precise	0.1.1	0.1.1.0	
# ::edge	or	op1	fundamentalism	0.1.0.0	0.1.0.0.0	
# ::edge	or	op2	kind	0.1.0.0	0.1.0	
(c / cause-01 
      :ARG0 (p / process) 
      :ARG1 (d / die-01 
            :ARG0 (k / kind 
                  :op-of (o / or 
                        :op1 (f / fundamentalism))) 
            :ARG1 (e / exceed-01 
                  :ARG0 (p2 / precise))))

# ::snt newcastle breweries helped the stock market resist the worst excesses of bank rate blues yesterday
# ::tok newcastle breweries helped the stock market resist the worst excesses of bank rate blues yesterday
# ::alignments 14-15|0.0.0.2 12-13|0.0.0.1.0 11-12|0.0.0.1 8-9|0 6-7|0.0.0 5-6|0.0.0.0 4-5|0.0.0.0.0 2-3|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:04.619
# ::node	0	bad	8-9
# ::node	0.0	help-01	2-3
# ::node	0.0.0	resist-01	6-7
# ::node	0.0.0.0	market	5-6
# ::node	0.0.0.0.0	stock	4-5
# ::node	0.0.0.1	bank	11-12
# ::node	0.0.0.1.0	rate	12-13
# ::node	0.0.0.2	yesterday	14-15
# ::root	0	bad
(b2 / bad 
      :ARG0-of (h / help-01 
            :ARG1 (r2 / resist-01 
                  :ARG0 (m / market 
                        :mod (s / stock)) 
                  :ARG1 (b / bank 
                        :mod-of (r / rate)) 
                  :time (y / yesterday))))

# ::snt for anyone wishing to walk off the excesses of the festive season the national trust and the ramblers association are once again organising a week of christmas walks
# ::tok for anyone wishing to walk off the excesses of the festive season the national trust and the ramblers association are once again organising a week of christmas walks
# ::alignments 27-28|0.0.0.0 24-25|0.0.0 22-23|0.0 21-22|0.0.1 20-21|0.0.1.0 18-19|0.2 15-16|0 14-15|0.1 13-14|0.1.0 11-12|0.0.0.0.0.0 5-6|0.0.0.0.0.2 4-5|0.0.0.0.0 2-3|0.0.0.0.0.1 1-2|0.0.0.0.0.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:04.837
# ::node	0	and	15-16
# ::node	0.0	organize-01	22-23
# ::node	0.0.0	week	24-25
# ::node	0.0.0.0	walk-01	27-28
# ::node	0.0.0.0.0	walk-01	4-5
# ::node	0.0.0.0.0.0	season	11-12
# ::node	0.0.0.0.0.1	wish-01	2-3
# ::node	0.0.0.0.0.1.0	anyone	1-2
# ::node	0.0.0.0.0.2	off	5-6
# ::node	0.0.1	again	21-22
# ::node	0.0.1.0	once	20-21
# ::node	0.1	trust-01	14-15
# ::node	0.1.0	nation	13-14
# ::node	0.2	associate-01	18-19
# ::root	0	and
# ::edge	again	mod	once	0.0.1	0.0.1.0	
# ::edge	and	op1	trust-01	0	0.1	
# ::edge	and	op2	associate-01	0	0.2	
# ::edge	organize-01	ARG0	and	0.0	0	
# ::edge	organize-01	ARG1	week	0.0	0.0.0	
# ::edge	organize-01	mod	again	0.0	0.0.1	
# ::edge	trust-01	mod	nation	0.1	0.1.0	
# ::edge	walk-01	ARG0	week	0.0.0.0	0.0.0	
# ::edge	walk-01	ARG1	season	0.0.0.0.0	0.0.0.0.0.0	
# ::edge	walk-01	ARG1	walk-01	0.0.0.0	0.0.0.0.0	
# ::edge	walk-01	direction	off	0.0.0.0.0	0.0.0.0.0.2	
# ::edge	wish-01	ARG0	anyone	0.0.0.0.0.1	0.0.0.0.0.1.0	
# ::edge	wish-01	ARG1	walk-01	0.0.0.0.0.1	0.0.0.0.0	
(a3 / and 
      :ARG0-of (o / organize-01 
            :ARG1 (w2 / week 
                  :ARG0-of (w / walk-01 
                        :ARG1 (w3 / walk-01 
                              :ARG1 (s / season) 
                              :ARG1-of (w4 / wish-01 
                                    :ARG0 (a4 / anyone)) 
                              :direction (o3 / off)))) 
            :mod (a / again 
                  :mod (o2 / once))) 
      :op1 (t / trust-01 
            :mod (n / nation)) 
      :op2 (a2 / associate-01))

# ::snt of course if there was a sudden upsurge in industrial activity and demand that situation could be reversed but international trends clearly dont suggest any dramatic increase in industrial production so we have an excess of electricity demand at the moment
# ::tok of course if there was a sudden upsurge in industrial activity and demand that situation could be reversed but international trends clearly dont suggest any dramatic increase in industrial production so we have an excess of electricity demand at the moment
# ::alignments 40-41|0.0.0.0.1.1 37-38|0.0.0.0.1 36-37|0.0.0.0.1.0 34-35|0.0.0.0 31-32|0.0.0 30-31|0.0.0.0.2 29-30|0.0.1 28-29|0.0.1.0 26-27|0.0.1.1 25-26|0.0.1.1.1 24-25|0.0.1.1.2 23-24|0.0 21-22|0.0.0.0.0 20-21|0.0.1.1.0 19-20|0.0.1.1.0.0 18-19|0 17-18|0.1 15-16|0.1.2 14-15|0.1.1 12-13|0.1.0.1.0 11-12|0.1.0.1 10-11|0.1.0.0 9-10|0.1.0.1.0.0 7-8|0.1.0 6-7|0.1.0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:06.266
# ::node	0	contrast-01	18-19
# ::node	0.0	suggest-01	23-24
# ::node	0.0.0	we	31-32
# ::node	0.0.0.0	exceed-01	34-35
# ::node	0.0.0.0.0	clear	21-22
# ::node	0.0.0.0.1	demand-01	37-38
# ::node	0.0.0.0.1.0	electricity	36-37
# ::node	0.0.0.0.1.1	moment	40-41
# ::node	0.0.0.0.2	so	30-31
# ::node	0.0.1	produce-01	29-30
# ::node	0.0.1.0	industry	28-29
# ::node	0.0.1.1	increase-01	26-27
# ::node	0.0.1.1.0	trend	20-21
# ::node	0.0.1.1.0.0	international	19-20
# ::node	0.0.1.1.1	dramatic	25-26
# ::node	0.0.1.1.2	any	24-25
# ::node	0.1	reverse-01	17-18
# ::node	0.1.0	upsurge-00	7-8
# ::node	0.1.0.0	activity	10-11
# ::node	0.1.0.1	and	11-12
# ::node	0.1.0.1.0	demand-01	12-13
# ::node	0.1.0.1.0.0	industry	9-10
# ::node	0.1.0.2	sudden	6-7
# ::node	0.1.1	situation	14-15
# ::node	0.1.2	possible	15-16
# ::root	0	contrast-01
# ::edge	and	op1	demand-01	0.1.0.1	0.1.0.1.0	
# ::edge	contrast-01	ARG1	suggest-01	0	0.0	
# ::edge	contrast-01	ARG2	reverse-01	0	0.1	
# ::edge	demand-01	ARG0	electricity	0.0.0.0.1	0.0.0.0.1.0	
# ::edge	demand-01	ARG1	industry	0.1.0.1.0	0.1.0.1.0.0	
# ::edge	demand-01	ARG1	moment	0.0.0.0.1	0.0.0.0.1.1	
# ::edge	exceed-01	ARG0	we	0.0.0.0	0.0.0	
# ::edge	exceed-01	ARG1	clear	0.0.0.0	0.0.0.0.0	
# ::edge	exceed-01	ARG2	demand-01	0.0.0.0	0.0.0.0.1	
# ::edge	increase-01	ARG1	trend	0.0.1.1	0.0.1.1.0	
# ::edge	increase-01	manner	dramatic	0.0.1.1	0.0.1.1.1	
# ::edge	increase-01	mod	any	0.0.1.1	0.0.1.1.2	
# ::edge	increase-01	purpose	produce-01	0.0.1.1	0.0.1	
# ::edge	possible	domain	reverse-01	0.1.2	0.1	
# ::edge	produce-01	ARG0	industry	0.0.1	0.0.1.0	
# ::edge	reverse-01	ARG0	upsurge-00	0.1	0.1.0	
# ::edge	reverse-01	ARG1	situation	0.1	0.1.1	
# ::edge	so	op1	exceed-01	0.0.0.0.2	0.0.0.0	
# ::edge	suggest-01	ARG0	we	0.0	0.0.0	
# ::edge	suggest-01	ARG1	produce-01	0.0	0.0.1	
# ::edge	trend	mod	international	0.0.1.1.0	0.0.1.1.0.0	
# ::edge	upsurge-00	ARG1	activity	0.1.0	0.1.0.0	
# ::edge	upsurge-00	ARG2	and	0.1.0	0.1.0.1	
# ::edge	upsurge-00	manner	sudden	0.1.0	0.1.0.2	
(c2 / contrast-01 
      :ARG1 (s2 / suggest-01 
            :ARG0 (w / we 
                  :ARG0-of (e2 / exceed-01 
                        :ARG1 (c / clear) 
                        :ARG2 (d / demand-01 
                              :ARG0 (e / electricity) 
                              :ARG1 (m / moment)) 
                        :op-of (s / so))) 
            :ARG1 (p / produce-01 
                  :ARG0 (i / industry) 
                  :purpose-of (i2 / increase-01 
                        :ARG1 (t / trend 
                              :mod (i3 / international)) 
                        :manner (d2 / dramatic) 
                        :mod (a / any)))) 
      :ARG2 (r / reverse-01 
            :ARG0 (u / upsurge-00 
                  :ARG1 (a3 / activity) 
                  :ARG2 (a2 / and 
                        :op1 (d3 / demand-01 
                              :ARG1 (i4 / industry))) 
                  :manner (s4 / sudden)) 
            :ARG1 (s3 / situation) 
            :domain-of (p2 / possible)))

# ::snt 14 fourteen per cent of the publishers net receipts on all copies sold in excess of 10000 copies   students activity books classroom version dash, 16 sixteen per cent of the publishers net receipts on all copies sold in excess of 50000 copies   teachers video guide dash, 12 twelve per cent of the publishers net receipts on all units sold in excess of 5000 units
# ::tok 14 fourteen per cent of the publishers net receipts on all copies sold in excess of 10000 copies students activity books classroom version dash , 16 sixteen per cent of the publishers net receipts on all copies sold in excess of 50000 copies teachers video guide dash , 12 twelve per cent of the publishers net receipts on all units sold in excess of 5000 units
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:06.268
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
